performance_begin;performance_clockBegin;performance_clockDuration;performance_clockEnd;performance_duration;performance_end;performance_personUpdatesPerSecond;performance_realTimeFactor;performance_traciDuration;performance_vehicleUpdatesPerSecond;vehicles_inserted;vehicles_loaded;vehicles_running;vehicles_waiting;teleports_jam;teleports_total;teleports_wrongLane;teleports_yield;safety_collisions;safety_emergencyBraking;safety_emergencyStops;persons_jammed;persons_loaded;persons_running;personTeleports_abortWait;personTeleports_total;personTeleports_wrongDest;vehicleTripStatistics_count;vehicleTripStatistics_departDelay;vehicleTripStatistics_departDelayWaiting;vehicleTripStatistics_duration;vehicleTripStatistics_routeLength;vehicleTripStatistics_speed;vehicleTripStatistics_timeLoss;vehicleTripStatistics_totalDepartDelay;vehicleTripStatistics_totalTravelTime;vehicleTripStatistics_waitingTime;pedestrianStatistics_duration;pedestrianStatistics_number;pedestrianStatistics_routeLength;pedestrianStatistics_timeLoss;rideStatistics_number;transportStatistics_number
0.00;297321.75;4.50;297326.24;2010.00;2010.00;0.00;447.16;3.94;1659.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;552;953;61;390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0;707;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;702;0;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;491;342.97;-1.00;202.64;3064.01;27.50;110.67;168398.00;99495.00;22.24;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;0;0.00;0.00;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
