step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1888496828_stopped,1888496828_accumulated_waiting_time,1888496828_average_speed,cluster_316828833_4985908780_stopped,cluster_316828833_4985908780_accumulated_waiting_time,cluster_316828833_4985908780_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.37290386076551,1,0.0,0.2726579598767601,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.7282988564992205,1,0.0,0.6098788332064397,0,0.0,1.0,1,0.0
15.0,1,0.0,0.0,8.22752373754269,1,0.0,0.6277498127013179,0,0.0,1.0,1,0.0
20.0,2,7.0,0.4117647058823529,8.730062323778544,2,7.0,0.656339805293264,0,0.0,1.0,2,7.0
25.0,6,18.0,0.782608695652174,7.935652907555251,6,18.0,0.5855186778818372,0,0.0,1.0,6,18.0
30.0,4,35.0,1.25,8.575539394623872,4,35.0,0.6000661344134006,0,0.0,1.0,4,35.0
35.0,5,55.0,1.6176470588235294,9.126328989273368,5,55.0,0.6539605666911855,0,0.0,1.0,5,55.0
40.0,9,80.0,2.0,8.056607161414185,9,80.0,0.5843066326440486,0,0.0,0.8411855271084768,9,80.0
45.0,9,113.0,2.5681818181818183,7.78737534912147,8,112.0,0.5351408761920331,0,0.0,0.9851556566249563,8,112.0
50.0,14,166.0,3.608695652173913,6.921640070353099,13,160.0,0.4404222502246383,0,0.0,1.0,13,160.0
55.0,19,246.0,5.125,5.841373434687198,18,235.0,0.3762023712357163,0,0.0,1.0,18,235.0
60.0,21,346.0,6.528301886792453,5.968072994951449,20,330.0,0.3751136765387152,0,0.0,1.0,20,330.0
65.0,27,466.0,8.321428571428571,5.056232263617829,26,445.0,0.3049830617179724,0,0.0,1.0,26,445.0
70.0,31,608.0,10.482758620689655,4.860435771070895,30,582.0,0.29605766102728365,0,0.0,1.0,30,582.0
75.0,34,770.0,12.833333333333334,3.946906924261016,33,739.0,0.2371819963876246,0,0.0,1.0,33,739.0
80.0,38,953.0,15.126984126984127,3.8407579013534368,37,917.0,0.21232929203180917,0,0.0,0.8763906635174512,37,917.0
85.0,36,978.0,15.046153846153846,4.407703441639361,36,1060.0,0.24443513401307684,0,0.0,1.0,36,1060.0
90.0,33,1083.0,16.661538461538463,4.168457317179193,33,1168.0,0.20632382176879446,0,0.0,1.0,33,1168.0
95.0,37,1258.0,18.776119402985074,4.005976224085578,36,1339.0,0.21160050992584672,0,0.0,1.0,36,1339.0
100.0,43,1456.0,20.507042253521128,4.166842053899673,42,1532.0,0.22002043453702996,0,0.0,0.5269833711680881,42,1532.0
105.0,44,1670.0,22.876712328767123,4.346801140945804,43,1741.0,0.221708157840516,0,0.0,0.9152866576463701,43,1741.0
110.0,40,1636.0,22.72222222222222,3.7780893069168227,40,1849.0,0.18929987535450565,0,0.0,0.9378225880655316,40,1849.0
115.0,40,1520.0,20.266666666666666,3.340991235714182,40,2005.0,0.1548474759302121,0,0.0,0.8102231902406808,40,2005.0
120.0,38,1493.0,19.38961038961039,3.4931614044215813,38,2170.0,0.17717469779737327,0,0.0,0.9146751623070809,38,2170.0
125.0,36,1435.0,18.397435897435898,3.5740966415666557,35,2309.0,0.19409024434758593,0,0.0,1.0,35,2309.0
130.0,37,1455.0,18.417721518987342,3.221513115266749,37,2463.0,0.1690845897915118,0,0.0,1.0,37,2463.0
