Area,Reward,Environment Type,Algorithm,Episodes,Max Sumo Steps,Traffic Scale,Seed,Runned By,Reward of Last Episode,Average Reward for Evaluated Episodes,Derivative of Reward,Waiting Time,Speed,Depart Delay,Time Loss,Waiting Car,Total Time,Device,Notes,Study Group
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫14,0,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫14,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫14,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫14,3,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫14,mean,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫38,0,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫38,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫38,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫38,3,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,2000,0٫38,mean,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫14,0,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫14,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫14,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫14,3,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫14,mean,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫38,0,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫38,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫38,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫38,3,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,1500,0٫38,mean,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫14,0,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫14,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫14,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫14,3,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫14,mean,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫38,0,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫38,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫38,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫38,3,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,200,4000,0٫38,mean,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,350,2000,0٫14,0,Rimon,-37.453,-33.85312499999999,58.640624999999986,82.96,9.29,154.15,122.71,565.0,40.175,colab,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,350,2000,0٫14,1,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,350,2000,0٫14,2,,,,,,,,,,,,,
Area2 (Mosheer Ismail),Literature,GroupedSumoEnv,D3QN,350,2000,0٫14,3,,,,,,,,,,,,,
